,block_1,block_2,block_3,db_1_max,db_1_min,db_1_null,db_1_unique,db_2_max,db_2_min,db_2_null,db_2_unique,db_3_max,db_3_min,db_3_null,db_3_unique,max,min,name,null_count,path,random_1,random_2,random_3,size,top_1_percent,top_1_value,top_2_percent,top_2_value,top_3_percent,top_3_value,unique,zero_count
0,xxxxxxxxxxxNxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,773.47,0.0,882,2166,773.47,0.0,700,2186,773.51,0.0,355,1799,854.8,0.0,TrainsUK2_1/1_Actual Total Distance Miles.double,144479,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/1_Actual Total Distance Miles.double,6.05,77.03,18.15,15561777,1.0,0.66,0.9,20.19,0.8,1.08,10082,1397
1,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,773.47,0.56,0,1718,773.47,0.56,0,1845,773.47,0.56,0,1918,854.8,0.0,TrainsUK2_1/16_Planned Total Distance Miles.double,3,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/16_Planned Total Distance Miles.double,5.86,10.83,16.4,15561777,1.0,0.66,0.9,20.19,0.8,1.08,7822,77
2,xxxxxxxxxxxxxxx.xxxx,.xxxxx.xxxxxx.x.xxxx,xxxx...xxx.xxxxxxxxx,214.0,-31.0,321,151,158.0,-32.0,326,152,177.0,-59.0,351,163,606.0,-283.0,TrainsUK2_1/23_v_Dest Lateness (WTT).double,143562,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/23_v_Dest Lateness (WTT).double,1.0,0.0,1.0,15561777,23.4,0.0,19.3,-1.0,12.1,1.0,628,3645195
3,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxx.xxxxxxx,xxxxxxxxxxxxxxxxxxxx,773.47,0.0,278,1738,773.47,0.0,474,1841,641.78,0.0,571,1809,854.8,0.0,TrainsUK2_2/1_Actual Total Distance Miles.double,144479,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/1_Actual Total Distance Miles.double,18.02,393.0,24.24,15561777,1.0,0.66,0.9,20.19,0.8,1.08,10082,1397
4,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,773.47,0.56,0,2005,773.47,0.56,0,1673,773.47,0.56,0,1670,854.8,0.0,TrainsUK2_2/16_Planned Total Distance Miles.double,3,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/16_Planned Total Distance Miles.double,16.99,23.49,165.02,15561777,1.0,0.66,0.9,20.19,0.8,1.08,7822,77
5,xxxxxxxxx.xxxxxxxx..,xxxxxxxxxxxx.x.xxxxx,xxxxxxxxxx....xxxxxx,240.0,-30.0,613,178,152.0,-29.0,354,147,167.0,-34.0,682,194,606.0,-283.0,TrainsUK2_2/23_v_Dest Lateness (WTT).double,143562,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/23_v_Dest Lateness (WTT).double,3.0,-2.0,1.0,15561777,23.4,0.0,19.3,-1.0,12.1,1.0,628,3645195
6,.xxxx..xxxx......x.x,..x...x.......x...x.,x.xxxxx.x......xxx..,264184.0,0.0,0,3172,412787.0,0.0,0,3107,596772.0,0.0,0,1527,943514.0,0.0,Generico_4/22_InversionQ.double,0,/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/22_InversionQ.double,154.19,202.53,225.0,23365928,6.3,0.0,2.9,1800.0,2.3,1500.0,362391,1463240
7,.....x..............,.xxxxxxxxxxxxxxxxxxx,x.xxx.xx.xxx..x..x.x,78537.95,0.0,0,2661,36220.47,0.0,0,2621,39849.55,0.0,0,3633,121110.84,0.0,Generico_4/23_InversionUS.double,0,/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/23_InversionUS.double,42.0,600.0,149.66,23365928,6.3,0.0,1.5,300.0,1.1,210.0,244379,1463240
8,.xx.xxx.....x.xx....,.x.......x.......xxx,..xx.x..x.xxx.....xx,307200.0,0.0,0,1373,168960.0,0.0,0,1359,240682.0,0.0,0,1178,943514.0,0.0,Generico_3/22_InversionQ.double,0,/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/22_InversionQ.double,273.0,224.0,714.0,23365928,6.3,0.0,2.9,1800.0,2.3,1500.0,362391,1463240
9,.x....xxx....xx.....,...x...x...x...x.xxx,...xx..xxxxxxx......,25480.87,0.0,0,4512,25126.99,0.0,0,4204,27149.16,0.0,0,2475,121110.84,0.0,Generico_3/23_InversionUS.double,0,/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/23_InversionUS.double,67.28,80.18,27.6,23365928,6.3,0.0,1.5,300.0,1.1,210.0,244379,1463240
10,xxx......xx...x...xx,..xxxxxxx..xxxx..xxx,xxxxxxx.xxxxxxxxxxxx,743017.0,0.0,0,3840,274666.7,0.0,0,1457,574054.45,0.0,0,3395,943514.0,0.0,Generico_1/22_InversionQ.double,0,/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/22_InversionQ.double,15205.15,550.0,9384.0,20660895,6.9,0.0,3.1,1800.0,2.6,225.0,345853,1417329
11,.xx.xxxx..xx.x.x..xx,xx.xxx.xx.xxxxxx..xx,.x..xxxxxx.x.xxxxxxx,60030.63,0.0,0,2603,51788.48,0.0,0,2928,62705.87,0.0,0,2309,121110.84,0.0,Generico_1/23_InversionUS.double,0,/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/23_InversionUS.double,250.0,762.43,200.0,20660895,6.9,0.0,1.4,300.0,1.2,210.0,239319,1417329
12,.......x.....x..x..x,....................,.........xxx.x.xxxxx,297207.0,0.0,0,3153,390370.0,0.0,0,1084,405836.8,0.0,0,2804,943514.0,0.0,Generico_2/22_InversionQ.double,0,/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/22_InversionQ.double,1800.0,0.0,0.0,23365928,6.3,0.0,2.9,1800.0,2.3,1500.0,362391,1463240
13,....x..........x....,x..x.......x...x....,....x.xxxxxx.xx.x.xx,64283.85,0.0,0,3163,59250.75,0.0,0,2899,42010.39,0.0,0,3298,121110.84,0.0,Generico_2/23_InversionUS.double,0,/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/23_InversionUS.double,31.45,27.75,130.2,23365928,6.3,0.0,1.5,300.0,1.1,210.0,244379,1463240
14,.x.............x..x.,x..x.x.xx.xxxxx.x...,.xx.xxx....xxxxxx..x,330230.0,0.0,0,3091,377405.0,0.0,0,1413,172816.0,0.0,0,1275,943514.0,0.0,Generico_5/22_InversionQ.double,0,/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/22_InversionQ.double,265.37,1560.0,800.0,23365928,6.3,0.0,2.9,1800.0,2.3,1500.0,362391,1463240
15,x.....x..xxx........,..xxx.xx.xxxxxxx....,x.x.x.x.x...x.x...x.,33769.63,1.74,0,2166,34466.45,0.0,0,3225,42929.29,0.0,0,1782,121110.84,0.0,Generico_5/23_InversionUS.double,0,/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/23_InversionUS.double,275.0,80.43,1200.32,23365928,6.3,0.0,1.5,300.0,1.1,210.0,244379,1463240
16,.xxxxxxxx.xx.xxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxx.xxxxxxxxxxx,1.0,0.0,0,5788,1.0,0.0,1915,4579,1.0,0.0,0,3990,1.0,0.0,Redfin1_4/39_sold_above_list.double,24765,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/39_sold_above_list.double,0.0,0.115384615384615,0.153846153846154,3030055,32.6,0.0,3.2,0.5,3.0,0.333333333333333,50315,987343
17,NNNNNNNNNNNNNNNNNNNN,xxxxxxxxxxxxxxNNNNNN,NNNNNNNNNNNNNNNNNNNN,0.571428571428571,-0.333333333333333,59505,5131,0.625,-0.55,60008,4638,0.242424242424242,-0.333333333333333,59964,4716,0.927745410438655,-0.901603877961585,Redfin1_4/34_price_drops_mom.double,2808705,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/34_price_drops_mom.double,,-0.00344202898550725,,3030055,0.1,0.0,0.0,0.0166666666666667,0.0,0.0238095238095238,171473,1717
18,xxxxxxxxxxxxxxxxNxxx,xxxxxxxxNxxxxxxxxxxx,xxxxxxxxxxxxxxxxNNNN,1278.0,-921.0,10918,1725,1656.0,-1330.0,13043,1895,1998.0,-1681.0,9307,1739,2475.0,-2076.5,Redfin1_4/14_median_dom_yoy.double,520346,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/14_median_dom_yoy.double,-145.0,26.0,-8.0,3030055,0.9,0.0,0.9,-1.0,0.8,1.0,4886,26715
19,NxxNxNNxNxNxxxxxxNxx,xxxxxNxxxxxxxxxxxxxx,xxxxxxNxxxxNNxNNxxNx,218.444444444444,-0.995004683109585,7564,39872,147.445205479452,-0.98245163185139,9730,37334,150.04347826087,-0.994358974358974,5957,39327,1783.85280820696,-0.999707142857143,Redfin1_4/19_median_list_price_mom.double,380594,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/19_median_list_price_mom.double,,-0.207865168539326,-0.0639122014202711,3030055,9.4,0.0,0.0,0.1,0.0,0.05,803852,283981
20,xxxxxxxxxxxxxxxxxxxx,xxxNxxxNxxxxxx.xxxxx,xxxxxxxxxxxxxxxxxxxx,1079.13979780921,-0.999812997952806,3540,48519,1901.87024097587,-0.941807828608247,4299,47881,1232.0,-0.999709857175773,3992,49022,128022.076923077,-0.999988910541052,Redfin1_4/22_median_ppsf_mom.double,182634,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/22_median_ppsf_mom.double,-0.0157927173134536,0.116895093852571,0.866717437275447,3030055,11.8,0.0,0.0,0.0666666666666667,0.0,0.111111111111111,2135968,358204
21,xNxNNxxNxxxNxxxxxxNx,xxxxxxxxxxxxNNNNxNNN,xxxxxxxxxxxxxxxxxxx.,1266.0,-1333.0,7631,1505,1004.5,-948.0,6904,1404,2001.0,-2079.0,3517,1237,2220.0,-2407.0,Redfin1_4/13_median_dom_mom.double,265518,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/13_median_dom_mom.double,-43.0,2.0,39.0,3030055,13.5,0.0,2.0,1.0,1.8,-1.0,4085,410223
22,xxxxxxxxxxxxxxxxxxxx,xxNxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,1.12467981492027,-0.697058823529412,4785,52306,0.809103635009051,-0.922214110307294,4563,50730,0.661428571428571,-0.670538254517493,5184,49726,1.36207388414791,-1.32433244325768,Redfin1_4/3_avg_sale_to_list_mom.double,240785,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/3_avg_sale_to_list_mom.double,-0.0279983986602729,-0.0131405459978581,-0.0046329216231884,3030055,10.2,0.0,0.0,1.11022302462516e-16,0.0,-1.11022302462516e-16,2297378,307905
23,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxNxNxxxNNxxNNxxxxx,21.0,-0.944444444444444,7659,6058,154.0,-0.95,7533,5654,16.0,-0.944444444444444,6693,6754,638.5,-0.995670995670996,Redfin1_4/8_homes_sold_yoy.double,377527,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/8_homes_sold_yoy.double,0.52112676056338,-0.269662921348315,1.0,3030055,9.5,0.0,3.7,1.0,3.2,-0.5,60497,288748
24,xxxNxxxxxNxxxxxxxxxx,NxNNx.....xx........,xxxxxxxxxxxxxxxxxxxx,1.06979124027835,-1.10118875036242,10538,51103,0.925318984142514,-1.00687842745113,9369,51158,1.05722222222222,-0.977346278317152,8933,52584,1.49933244325768,-1.25735294117647,Redfin1_4/4_avg_sale_to_list_yoy.double,465044,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/4_avg_sale_to_list_yoy.double,0.106913385207432,,-0.00915642126887506,3030055,2.5,0.0,0.0,0.04,0.0,-0.04,2295263,76292
25,xxxxxxxxxxxxxxxxxxNx,xxxxxxxxxxxxxxxxxxxx,.xxxxxxxxxxxxxxx.xxx,18.8333333333333,-0.990097826086957,2999,33908,100.0,-0.99990244378323,3584,33446,659.33606557377,-0.986428571428571,3547,33817,197785.0,-0.999983726606998,Redfin1_4/25_median_sale_price_mom.double,147360,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/25_median_sale_price_mom.double,-0.00426742532005686,0.050021017234132,0.0,3030055,13.7,0.0,0.1,0.111111111111111,0.1,0.1,695189,413875
26,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxNxxxNxxxx,xxxxxxxxxxx.xxxxxxxx,419.0,-0.944444444444444,6080,7830,119.0,-0.966666666666667,7701,7781,11.0,-0.928571428571429,10233,6003,1305.0,-0.994764397905759,Redfin1_4/28_new_listings_mom.double,410821,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/28_new_listings_mom.double,0.116438356164384,1.0,0.222222222222222,3030055,10.8,0.0,2.2,-0.5,2.0,1.0,75339,328713
27,xxxxxxxxxxxxxxxxxxNx,xxxxxxxxxxxxxxxxxxxx,NxNxxxxxxxxxxxxxNxNx,76.3096395442367,-0.952932245207819,8057,48181,694.651905455803,-0.999374189723646,5818,41425,2224.69224880383,-0.997309238688077,10881,46179,4326.45920476441,-0.999732296812996,Redfin1_4/16_median_list_ppsf_mom.double,401015,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/16_median_list_ppsf_mom.double,0.0521770778162429,-0.0558316990550901,,3030055,7.2,0.0,0.0,0.04,0.0,0.02,2133839,217715
28,xxxNxxxxxxxNxNNxNNNx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,118086.804878049,-0.999796845376388,10544,48789,3204.38720538721,-0.9990990778471,9386,50524,107.529431482971,-0.969591860330674,8303,52591,179271.550389277,-0.999993390614673,Redfin1_4/23_median_ppsf_yoy.double,410955,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/23_median_ppsf_yoy.double,0.0196714975845411,0.106293084278408,0.169078279079122,3030055,0.0,0.0,0.0,0.111111111111111,0.0,0.25,2231232,570
29,xxxxxxxxxxxxxxxxxxxx,NNNNNNNNNNNNNNNNNNNN,xxxxxxxxxxxxxxxxxxxN,322.516483516484,-0.997856708178679,14771,46831,703.405667412379,-0.995685100863907,12079,49365,304.498120300752,-0.998181523843052,15040,47032,4637.03825250836,-0.99957222031089,Redfin1_4/17_median_list_ppsf_yoy.double,610225,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/17_median_list_ppsf_yoy.double,-0.0211077054964159,,0.0159365627539405,3030055,0.0,0.0,0.0,0.111111111111111,0.0,0.25,2151044,673
30,xxxxxxxxxxxNxxxxNxxx,NxxxNxxxxxxxxx.xxNNx,NxxxNNxxxxxxNxxxxxxN,1692.0,-0.958333333333333,14469,9857,70.0,-0.966666666666667,341,1109,19.0,-0.970149253731343,13950,15207,3291.0,-0.990506329113924,Redfin1_4/11_inventory_yoy.double,704365,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/11_inventory_yoy.double,-0.52,,,3030055,4.5,0.0,1.8,-0.5,1.4,1.0,135738,134906
31,xNNxxxxxNNxxxNxxNxxx,xxxxxxxxNNxxxxxxxxxx,xxxx.xxNxxxxxxxNxxxx,21999.0,-0.999950738916256,9768,36687,17999.0,-0.986657771847899,6708,38495,113549.0,-0.997222222222222,6742,38841,384999.0,-0.999991111111111,Redfin1_4/26_median_sale_price_yoy.double,377527,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/26_median_sale_price_yoy.double,0.0587935861542377,0.14855987872663,-0.285349233390119,3030055,0.5,0.0,0.2,0.25,0.1,0.2,801872,16181
32,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxx.xx.xx..xNx.,21.5,-0.956521739130435,3558,6410,11.0,-0.928571428571429,2497,5571,9.0,-0.978260869565217,3166,5559,80.1666666666667,-0.979591836734694,Redfin1_4/7_homes_sold_mom.double,147360,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/7_homes_sold_mom.double,0.416666666666667,-0.0659340659340659,-0.428571428571429,3030055,17.6,0.0,3.2,1.0,3.2,-0.5,63126,533211
33,xx.xNNxNNxxxxNxNxxNx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxNxxxxxxxxx,13.0,-0.923076923076923,10312,7464,13.0,-0.894736842105263,11536,7528,13.0,-0.888888888888889,7426,8268,890.0,-0.961538461538462,Redfin1_4/10_inventory_mom.double,493833,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/10_inventory_mom.double,-0.5,0.0144683669893524,0.333333333333333,3030055,12.0,0.0,1.5,-0.5,1.4,-0.333333333333333,100143,363872
34,xxxxxxxxxxxxxxxxNxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,59846.0526315789,0.602968460111317,4190,52290,75000.0,0.531342480495023,5707,49287,35030.0,0.0718390804597701,6357,48712,710744.090909091,0.000366000616711039,Redfin1_4/15_median_list_ppsf.double,262169,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/15_median_list_ppsf.double,31.5006759801712,147.714604236343,160.472972972973,3030055,0.0,100.0,0.0,125.0,0.0,83.3333333333333,1552177,0
35,NNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN,1.0,0.000248323814253787,57586,3158,1.0,6.44703758622913e-05,60599,1899,1.0,6.46914219174537e-05,60358,2135,1.0,4.78354460655346e-05,Redfin1_4/33_price_drops.double,2763278,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/33_price_drops.double,,,,3030055,0.0,0.0714285714285714,0.0,0.0454545454545455,0.0,0.0555555555555556,44299,0
