,block_1,block_2,block_3,db_1_max,db_1_min,db_1_null,db_1_unique,db_2_max,db_2_min,db_2_null,db_2_unique,db_3_max,db_3_min,db_3_null,db_3_unique,max,min,name,null_count,path,random_1,random_2,random_3,size,top_1_percent,top_1_value,top_2_percent,top_2_value,top_3_percent,top_3_value,unique,zero_count
0,....................,....................,....................,89625.0,0.0,0,8558,89625.0,0.0,0,12233,89625.0,0.0,0,14986,89625.0,0.0,IGlocations1_1/3_COUSUB.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/3_COUSUB.integer,0.0,0.0,0.0,81611,57.0,0.0,0.1,53000.0,0.0,34000.0,15226,46528
1,.xx.xxxxxxx.xxx.xxx.,x.x.xx.xx.xxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,26505637.0,0.0,0,9465,26505637.0,0.0,0,9065,38431393.0,0.0,0,13168,38431393.0,0.0,IGlocations1_1/13_POPESTIMATE2013.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/13_POPESTIMATE2013.integer,3175.0,1593.0,0.0,81611,0.8,0.0,0.1,108.0,0.1,2.0,15813,637
2,....................,..x.x.x.xx.x.xx.x.xx,xxxxxxxxxxxxxxxxxxxx,99990.0,0.0,0,11,99990.0,0.0,0,6806,99990.0,0.0,0,1692,99990.0,0.0,IGlocations1_1/9_PLACE.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/9_PLACE.integer,99990.0,0.0,6810.0,81611,29.9,0.0,8.4,99990.0,0.0,100.0,14237,24366
3,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,x.xx.xxxx.xx.xxxx.xx,1572216.0,0.0,0,4771,1572216.0,0.0,0,2098,2697319.0,0.0,0,7076,37336011.0,0.0,IGlocations1_1/10_POPESTIMATE2010.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/10_POPESTIMATE2010.integer,1038.0,9839.0,8436.0,81611,0.8,0.0,0.1,61.0,0.1,139.0,15827,640
4,....................,x.................x.,........x...x.......,840.0,0.0,0,320,840.0,0.0,0,319,840.0,0.0,0,319,840.0,0.0,IGlocations1_1/5_County Code.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/5_County Code.integer,93.0,35.0,19.0,81611,24.1,0.0,1.7,3.0,1.3,19.0,324,19683
5,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxx.x.xxxxxxxxxxxx,25657477.0,0.0,0,12710,1612312.0,0.0,0,3259,25657477.0,0.0,0,11467,37701901.0,0.0,IGlocations1_1/11_POPESTIMATE2011.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/11_POPESTIMATE2011.integer,16107.0,1320.0,453.0,81611,0.8,0.0,0.1,85.0,0.1,2.0,15722,639
6,....................,....................,....................,52004.0,0.0,0,9,52004.0,0.0,0,9,52004.0,0.0,0,9,52004.0,0.0,IGlocations1_1/2_CONCIT.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/2_CONCIT.integer,0.0,0.0,0.0,81611,99.8,0.0,0.1,48003.0,0.0,36000.0,9,81488
7,xxxxxxxxxxxxxxxxxxxx,.xxxxxx.xxxx.xxxxxxx,xxxxxxxxxxxxxxxxxxxx,26094422.0,0.0,0,12837,26094422.0,0.0,0,12050,26094422.0,0.0,0,10654,38062780.0,0.0,IGlocations1_1/12_POPESTIMATE2012.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/12_POPESTIMATE2012.integer,25533.0,1368.0,1380.0,81611,0.8,0.0,0.1,46.0,0.1,2.0,15796,637
8,....................,....................,....................,1.0,1.0,0,1,1.0,1.0,0,1,1.0,1.0,0,1,1.0,1.0,IGlocations1_1/8_Number of Records.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/8_Number of Records.integer,1.0,1.0,1.0,81611,100.0,1.0,,,,,1,0
9,....................,.................xx.,.................xx.,172.0,40.0,0,8,172.0,40.0,0,8,172.0,40.0,0,8,172.0,40.0,IGlocations1_1/16_SUMLEV.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/16_SUMLEV.integer,162.0,61.0,61.0,81611,29.0,157.0,25.9,61.0,23.9,162.0,8,0
10,xxxx.xxxxx.xxx.xxx.x,xxxxxxxxxxxxxxxxxxxx,x.x.xxx.xx.xx.xx.xxx,26956958.0,0.0,0,13005,26956958.0,0.0,0,11751,26956958.0,0.0,0,12258,38802500.0,0.0,IGlocations1_1/14_POPESTIMATE2014.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/14_POPESTIMATE2014.integer,37.0,281.0,1199.0,81611,0.8,0.0,0.1,83.0,0.1,2.0,15839,637
11,..xx.....xxxx.xx....,....xx............xx,....................,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,IGlocations1_1/15_PRIMGEO_FLAG.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/15_PRIMGEO_FLAG.integer,1.0,1.0,0.0,81611,50.0,0.0,50.0,1.0,,,2,40806
12,....................,....................,....................,56.0,1.0,0,51,56.0,1.0,0,51,56.0,1.0,0,51,56.0,1.0,IGlocations1_1/17_State code.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/17_State code.integer,42.0,34.0,17.0,81611,9.0,17.0,7.1,42.0,6.9,39.0,51,0
13,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,1563093.0,0.0,0,5578,1563093.0,0.0,0,2296,25146104.0,0.0,0,13058,37254503.0,0.0,IGlocations1_1/6_ESTIMATESBASE2010.integer,0,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/6_ESTIMATESBASE2010.integer,19126.0,3239.0,807.0,81611,0.8,0.0,0.1,61.0,0.1,139.0,15784,640
14,xxxxxxxxNxxxNxNxxxxx,x.x.x.x.x.x.x.xx.x.x,xxxxx.xxxxxxxxxxxxxx,1561463.0,0.0,22,4969,25145561.0,0.0,124,12013,25145561.0,0.0,113,11469,37253956.0,0.0,IGlocations1_1/1_CENSUS2010POP.integer,184,/data/mt-compression/code/tools/datasets/formatted/IGlocations1/1/IGlocations1_1/1_CENSUS2010POP.integer,224.0,61476.0,61.0,81611,0.7,0.0,0.1,61.0,0.1,48.0,15753,590
15,....................,....................,....................,1.0,1.0,0,1,1.0,1.0,0,1,1.0,1.0,0,1,1.0,1.0,TrainsUK2_1/4_Number of Records.integer,0,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/4_Number of Records.integer,1.0,1.0,1.0,15561777,100.0,1.0,,,,,1,0
16,.xxx.xxxxxxxxxxxxxxx,xxx.xxx.xxxxxx.xxxxx,.xxxxxxxxxxxxxxxx.xx,147.0,-58.0,1264,109,150.0,-38.0,766,98,161.0,-37.0,1358,119,606.0,-283.0,TrainsUK2_1/22_v_Dest Lateness (GBTT).integer,239239,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/22_v_Dest Lateness (GBTT).integer,-2.0,1.0,0.0,15561777,19.6,0.0,19.0,-1.0,13.4,-2.0,358,3046743
17,x.............xx....,....................,..xx...xx.xx...xx...,9.0,4.0,0,2,9.0,4.0,0,2,9.0,4.0,0,2,9.0,4.0,TrainsUK2_1/36_Calculation_9230610113105724.integer,1,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/36_Calculation_9230610113105724.integer,4.0,4.0,4.0,15561777,92.5,4.0,7.5,9.0,,,2,0
18,.....x.....xx.......,.x..................,x..........x.x...xxx,60.0,-56.0,1486,74,73.0,-60.0,1333,72,86.0,-30.0,1476,79,322.0,-252.0,TrainsUK2_1/26_v_Origin Lateness (WTT).integer,344938,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/26_v_Origin Lateness (WTT).integer,-1.0,-1.0,0.0,15561777,57.8,0.0,23.9,-1.0,6.5,1.0,247,8993734
19,..................xx,x..............xx...,...xxxx.......xx.xx.,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,TrainsUK2_1/27_v_PPM Pass Flag.integer,0,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/27_v_PPM Pass Flag.integer,1.0,1.0,1.0,15561777,90.0,1.0,10.0,0.0,,,2,1559468
20,x..........x.....x..,...x.....x..xxxNxx..,.xx..xxx..x....x..xx,110.0,-28.0,570,69,88.0,-30.0,640,92,124.0,-30.0,562,92,322.0,-252.0,TrainsUK2_1/25_v_Origin Lateness (GBTT).integer,143600,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/25_v_Origin Lateness (GBTT).integer,0.0,0.0,0.0,15561777,58.6,0.0,23.4,-1.0,7.2,1.0,254,9119965
21,....................,....................,.....xx.............,1.0,0.0,851,2,1.0,0.0,925,2,1.0,0.0,993,2,1.0,0.0,TrainsUK2_1/32_Calculation_2510610113130467.integer,239239,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/32_Calculation_2510610113130467.integer,0.0,0.0,0.0,15561777,96.7,0.0,1.7,1.0,,,2,15054435
22,...xx...............,....................,...........xx.......,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,TrainsUK2_1/21_v_CaSL Flag.integer,0,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/21_v_CaSL Flag.integer,0.0,0.0,0.0,15561777,97.2,0.0,2.8,1.0,,,2,15120646
23,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,29936004.0,11792920.0,0,424,29936004.0,11792920.0,0,412,29936004.0,11792920.0,0,419,29936004.0,11792920.0,TrainsUK2_1/19_TSC.integer,2,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/19_TSC.integer,24620204.0,12303012.0,23586003.0,15561777,1.5,24615006.0,1.3,22218000.0,1.2,21939001.0,449,0
24,xxxx.xxxxxxx...xxx.x,..x..x.x....x....xxx,x.x..x.....xx...xxxx,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,TrainsUK2_1/28_v_RT Flag.integer,0,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/28_v_RT Flag.integer,1.0,0.0,1.0,15561777,65.9,1.0,34.1,0.0,,,2,5301257
25,....................,....................,xx..................,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,TrainsUK2_1/24_v_Full Cancellation Flag.integer,0,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/24_v_Full Cancellation Flag.integer,0.0,0.0,1.0,15561777,98.8,0.0,1.2,1.0,,,2,15375455
26,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,89727.0,1005.0,0,551,89727.0,1005.0,0,545,89727.0,1005.0,0,579,89727.0,1001.0,TrainsUK2_1/9_Planned Dest Stanox.integer,2,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/9_Planned Dest Stanox.integer,87212.0,7257.0,38010.0,15561777,3.4,87212.0,3.1,87201.0,2.9,52741.0,950,0
27,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,89727.0,1005.0,0,592,89611.0,1005.0,0,565,89727.0,1005.0,0,611,89727.0,1001.0,TrainsUK2_1/12_Planned Orig Stanox.integer,2,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/1/TrainsUK2_1/12_Planned Orig Stanox.integer,16416.0,78400.0,71030.0,15561777,3.4,87212.0,3.1,87201.0,2.9,52741.0,982,0
28,....................,....................,....................,1.0,1.0,0,1,1.0,1.0,0,1,1.0,1.0,0,1,1.0,1.0,TrainsUK2_2/4_Number of Records.integer,0,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/4_Number of Records.integer,1.0,1.0,1.0,15561777,100.0,1.0,,,,,1,0
29,xxxxxxxxx.xx.xx.xxx.,.xxxxxxNx.xNxNxxxxx.,xxxxxxxx.xxxxxxxxxxx,249.0,-30.0,696,110,136.0,-31.0,1695,121,155.0,-39.0,1103,97,606.0,-283.0,TrainsUK2_2/22_v_Dest Lateness (GBTT).integer,239239,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/22_v_Dest Lateness (GBTT).integer,-2.0,-2.0,0.0,15561777,19.6,0.0,19.0,-1.0,13.4,-2.0,358,3046743
30,...............xx...,....................,.xx.................,9.0,4.0,0,2,9.0,4.0,0,2,9.0,4.0,0,2,9.0,4.0,TrainsUK2_2/36_Calculation_9230610113105724.integer,1,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/36_Calculation_9230610113105724.integer,4.0,4.0,4.0,15561777,92.5,4.0,7.5,9.0,,,2,0
31,xxxx...xx..x........,.x............xxxxx.,.....xxxx..xNxNx....,97.0,-61.0,1683,89,99.0,-237.0,1215,72,66.0,-26.0,1354,70,322.0,-252.0,TrainsUK2_2/26_v_Origin Lateness (WTT).integer,344938,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/26_v_Origin Lateness (WTT).integer,-3.0,-1.0,0.0,15561777,57.8,0.0,23.9,-1.0,6.5,1.0,247,8993734
32,.....xx.............,.........xx.xx......,....xx..............,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,TrainsUK2_2/27_v_PPM Pass Flag.integer,0,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/27_v_PPM Pass Flag.integer,1.0,1.0,1.0,15561777,90.0,1.0,10.0,0.0,,,2,1559468
33,..x..xx...x..x..x...,........x...xxx.....,............x...x..x,89.0,-60.0,731,84,84.0,-180.0,547,78,67.0,-57.0,438,72,322.0,-252.0,TrainsUK2_2/25_v_Origin Lateness (GBTT).integer,143600,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/25_v_Origin Lateness (GBTT).integer,-1.0,0.0,0.0,15561777,58.6,0.0,23.4,-1.0,7.2,1.0,254,9119965
34,.Nx.............Nx..,............Nx......,....................,1.0,0.0,1224,2,1.0,0.0,884,2,1.0,0.0,573,2,1.0,0.0,TrainsUK2_2/32_Calculation_2510610113130467.integer,239239,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/32_Calculation_2510610113130467.integer,0.0,0.0,0.0,15561777,96.7,0.0,1.7,1.0,,,2,15054435
35,....................,....................,....................,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,TrainsUK2_2/21_v_CaSL Flag.integer,0,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/21_v_CaSL Flag.integer,0.0,0.0,0.0,15561777,97.2,0.0,2.8,1.0,,,2,15120646
36,xxxxxx.xxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,29936004.0,11792920.0,0,421,29936004.0,11792920.0,0,418,29936004.0,11792920.0,0,422,29936004.0,11792920.0,TrainsUK2_2/19_TSC.integer,2,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/19_TSC.integer,22112001.0,24608006.0,11808920.0,15561777,1.5,24615006.0,1.3,22218000.0,1.2,21939001.0,449,0
37,x.x..xxxxx...x.....x,x.xxxxx.x..x.x....x.,..x...xx...x.x..x..x,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,TrainsUK2_2/28_v_RT Flag.integer,0,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/28_v_RT Flag.integer,1.0,0.0,0.0,15561777,65.9,1.0,34.1,0.0,,,2,5301257
38,....................,....................,....................,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,0,2,1.0,0.0,TrainsUK2_2/24_v_Full Cancellation Flag.integer,0,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/24_v_Full Cancellation Flag.integer,0.0,0.0,0.0,15561777,98.8,0.0,1.2,1.0,,,2,15375455
39,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,89727.0,1005.0,0,543,89727.0,1005.0,0,577,89727.0,1005.0,0,549,89727.0,1001.0,TrainsUK2_2/9_Planned Dest Stanox.integer,2,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/9_Planned Dest Stanox.integer,62011.0,9161.0,87212.0,15561777,3.4,87212.0,3.1,87201.0,2.9,52741.0,950,0
40,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,89611.0,1005.0,0,587,89727.0,1005.0,0,598,89727.0,1005.0,0,594,89727.0,1001.0,TrainsUK2_2/12_Planned Orig Stanox.integer,2,/data/mt-compression/code/tools/datasets/formatted/TrainsUK2/2/TrainsUK2_2/12_Planned Orig Stanox.integer,35001.0,16201.0,88491.0,15561777,3.4,87212.0,3.1,87201.0,2.9,52741.0,982,0
41,.xxxxxxx.xxxxx.x...x,.x.x...xx..x.x.xxx.x,xxxxxxxxxxxxx.xxxxxx,49.0,1.0,610,49,118.0,0.0,0,119,52.0,0.0,0,51,1136.0,0.0,Generico_4/30_Posicion_Edicion.integer,28709,/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/30_Posicion_Edicion.integer,2.0,4.0,3.0,23365928,18.6,1.0,12.7,2.0,11.2,3.0,379,1674606
42,....................,....................,....................,43.0,41.0,0,3,46.0,43.0,0,4,25.0,23.0,0,3,53.0,1.0,Generico_4/33_SEMANA.integer,76864,/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/33_SEMANA.integer,41.0,43.0,23.0,23365928,2.5,30.0,2.4,29.0,2.4,31.0,53,0
