block_1_average_length	block_1_block	block_1_max_length	block_1_min_length	block_1_null_count	block_1_top_1_percent	block_1_top_1_value	block_1_top_2_percent	block_1_top_2_value	block_1_top_3_percent	block_1_top_3_value	block_1_unique_count	block_1_zero_count	block_2_average_length	block_2_block	block_2_max_length	block_2_min_length	block_2_null_count	block_2_top_1_percent	block_2_top_1_value	block_2_top_2_percent	block_2_top_2_value	block_2_top_3_percent	block_2_top_3_value	block_2_unique_count	block_2_zero_count	block_3_average_length	block_3_block	block_3_max_length	block_3_min_length	block_3_null_count	block_3_top_1_percent	block_3_top_1_value	block_3_top_2_percent	block_3_top_2_value	block_3_top_3_percent	block_3_top_3_value	block_3_unique_count	block_3_zero_count	col_average_length	col_id	col_max_length	col_min_length	col_null_count	col_top_1_percent	col_top_1_value	col_top_2_percent	col_top_2_value	col_top_3_percent	col_top_3_value	col_unique_count	col_zero_count
8.000000	...................	20	4	0	9.529231	Illinois	7.201538	Pennsylvania	7.001538	Ohio	47	0	8.000000	...................	20	4	0	9.529231	Illinois	7.201538	Pennsylvania	7.001538	Ohio	47	0	8.000000	...................	20	4	0	9.529231	Illinois	7.201538	Pennsylvania	7.001538	Ohio	47	0	8.000000	/IGlocations1_1/18_State	20	4	0	9.011040	Illinois	7.076252	Pennsylvania	6.869172	Ohio	51	0
15.000000	xxxxxxxxxxxxxxxxxxx	47	4	0	0.232308	Washington township	0.195385	Jackson township	0.193846	Union township	25641	0	15.000000	xxx.xxxx.xxxxxxx.x.	47	4	0	0.232308	Washington township	0.195385	Jackson township	0.193846	Union township	25641	0	15.000000	xxxxxxxxxxxxxxxxxxx	47	4	0	0.232308	Washington township	0.195385	Jackson township	0.193846	Union township	25641	0	16.000000	/IGlocations1_1/4_City	57	4	0	0.187475	Washington township	0.156842	Union township	0.155616	Jackson township	31820	0
1.000000	...................	1	1	0	100.000000	A					1	0	1.000000	...................	1	1	0	100.000000	A					1	0	1.000000	...................	1	1	0	100.000000	A					1	0	1.000000	/IGlocations1_1/7_FUNCSTAT	1	1	0	85.463969	A	13.767752	F	0.446018	S	8	0
13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.603132	London Waterloo	3.186203	London Victoria	2.566193	London Liverpool Street	588	0	13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.603132	London Waterloo	3.186203	London Victoria	2.566193	London Liverpool Street	588	0	13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.603132	London Waterloo	3.186203	London Victoria	2.566193	London Liverpool Street	588	0	13.000000	/TrainsUK2_1/11_Planned Orig Stanox Description	31	3	1	3.398526	London Waterloo	3.132412	London Victoria	2.896225	London Liverpool Street	979	0
2.000000	xxxx.xx.xxxxx.....x	8	1	1	53.960830	LSE	28.128125	R	10.324774	S	5	0	2.000000	...xxxxx..xxxx.....	8	1	1	53.960830	LSE	28.128125	R	10.324774	S	5	0	2.000000	xx..xxxxxx.x.xx.x.x	8	1	1	53.960830	LSE	28.128125	R	10.324774	S	5	0	2.000000	/TrainsUK2_1/29_v_Sector	8	1	1	55.388222	LSE	26.786930	R	10.277535	S	6	0
2.000000	xxxxxxxxxxxxxxxxxxx	8	2	1	12.055570	ED	10.735550	HW	10.324774	HA	23	0	2.000000	.xxxxxxx.xxxxxxxxxx	8	2	1	12.055570	ED	10.735550	HW	10.324774	HA	23	0	2.000000	xxxxxxxxxxxxxx.xxxx	8	2	1	12.055570	ED	10.735550	HW	10.324774	HA	23	0	2.000000	/TrainsUK2_1/5_Operator	8	2	1	11.412354	ED	10.279926	HW	10.277535	HA	24	0
3.000000	xxxxxxxxxxxxxxxxxxx	4	4	1	0.087694	2K24	0.083078	2D44	0.081540	2C43	4991	0	3.000000	xxxxxxxxxxxxxxxxxxx	4	4	1	0.087694	2K24	0.083078	2D44	0.081540	2C43	4991	0	3.000000	xxxxxxxxxxxxxxxxxxx	4	4	1	0.087694	2K24	0.083078	2D44	0.081540	2C43	4991	0	3.000000	/TrainsUK2_1/35_Calculation_6080608165132814	4	4	1	0.084393	2N10	0.081546	2D44	0.078577	2N12	6112	0
4.000000	xxxxxxxxxxxxxxxxxxx	18	4	1	4.446222	HA06	3.927753	HU02	3.733904	HW04	117	0	4.000000	xxxxxxxxxxxxxxxxxxx	18	4	1	4.446222	HA06	3.927753	HU02	3.733904	HW04	117	0	4.000000	xxxxxxxxxxxxxxxxxxx	18	4	1	4.446222	HA06	3.927753	HU02	3.733904	HW04	117	0	4.000000	/TrainsUK2_1/17_Service Group Code	18	4	1	4.609660	HA06	4.399350	HU02	3.536531	HW04	120	0
11.000000	...................	23	11	1	99.998462	2013/14_P01	0.001538	Financial Year & Period			2	0	11.000000	...................	23	11	1	99.998462	2013/14_P01	0.001538	Financial Year & Period			2	0	11.000000	...................	23	11	1	99.998462	2013/14_P01	0.001538	Financial Year & Period			2	0	11.000000	/TrainsUK2_1/3_Financial Year & Period	23	11	1	3.870124	2013/14_P13	3.658933	2014/15_P05	3.644777	2014/15_P12	29	0
13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.583132	London Waterloo	3.193895	London Victoria	2.629271	London Liverpool Street	548	0	13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.583132	London Waterloo	3.193895	London Victoria	2.629271	London Liverpool Street	548	0	13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.583132	London Waterloo	3.193895	London Victoria	2.629271	London Liverpool Street	548	0	13.000000	/TrainsUK2_1/8_Planned Dest Stanox Description	31	3	1	3.388501	London Waterloo	3.108103	London Victoria	2.930977	London Liverpool Street	948	0
