"block_1","block_2","block_3","name","random_1","random_2","random_3","unique","db_1_unique","db_1_null","db_2_unique","db_2_null","db_3_unique","db_3_null","max","min","null_count","path","size","top_1_percent","top_1_value","top_2_percent","top_2_value","top_3_percent","top_3_value","zero_count"
"xx.xxxxxxx..x.xxxxxx","x.xxxxxxx.xx.xxxxxx.",".xxxxxxxx.x.xx.xxxxx","Generico_4/30_Posicion_Edicion.integer",7,2,9,379,185,"0",130,"0",117,"0",1136,"0.0",28709,"/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/30_Posicion_Edicion.integer",23365928,18.6,1,12.7,2,11.2,3,1674606
"....................","....................","....................","Generico_4/33_SEMANA.integer",21,24,47,53,3,"0",3,"0",2,"0",53,1,76864,"/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/33_SEMANA.integer",23365928,2.5,30,2.4,29,2.4,31,"0"
"....................","....................","....................","Generico_4/13_Dia_Semana.integer",4,2,6,135,7,"0",6,"0",7,"0",134,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/13_Dia_Semana.integer",23365928,15.5,5,15.4,3,15.3,4,7865
"....................","....................","....................","Generico_4/27_NumAnuncios.integer",1,1,1,2,1,"0",1,"0",1,"0",2,1,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/27_NumAnuncios.integer",23365928,100,1,"0.0",2,"None","nan","0"
"xxxx..xxx.x.xx.xxxx.","xxxx.xxxxxxxxxxxxxxx","xxx.....xxxxxxxxxxxx","Generico_4/11_Corte.integer",4,14,1,616,48,"0",38,"0",42,"0",838,"0.0",28594,"/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/11_Corte.integer",23365928,17.7,"0.0",16.7,1,15.7,2,4145892
"....................","....................","....................","Generico_4/8_Cols.integer","0.0","0.0","0.0",21,11,"0",10,"0",10,"0",68,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/8_Cols.integer",23365928,97.1,"0.0",1.2,6,"0.5",3,22687060
"....................","....................","....................","Generico_4/29_Plgs.integer","0.0","0.0","0.0",24,16,"0",17,"0",11,"0",98,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/29_Plgs.integer",23365928,97.1,"0.0",1,8,"0.7",4,22687060
"....................","x.xxxxxxxxxxxxxx.x..","......x..x..xxx.....","Generico_4/7_Codigo.integer",192093,100800,177337,1430639,8544,"0",7699,"0",3846,"0",1882408,5,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/7_Codigo.integer",23365928,2.5,10555,2.5,13696,2.1,33017,"0"
"..............x.x.x.",".x.xxxxxx.xx...x.x..","......x.xxxxxxx.xxxx","Generico_4/15_Duracion.integer",6,7,20,1036,142,"0",231,"0",223,"0",3607,"0.0",9,"/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/15_Duracion.integer",23365928,22.2,30,12,"0.0",9.9,20,2797969
"xxx.x.xx.xx.xx......","xxNxNxxxxxxx.x.x.Nx.","NNNNNNNNNNNNNNNNNNNN","Generico_4/14_Disco.integer",163,225,"nan",346,69,20135,70,17241,60,19140,351,"0.0",7263844,"/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/14_Disco.integer",23365928,3.9,47,3.7,29,2.6,30,74426
"....................","....................","....................","Generico_4/3_A�o.integer",2012,2012,2014,9,1,"0",1,"0",1,"0",2015,2007,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/3_A�o.integer",23365928,14.3,2015,11.7,2011,11.1,2014,"0"
"x.x.xx.x.xxx..x.....","xxxx.....x......x...","....xxxxxxx....xx...","Generico_4/12_De_Npags.integer",4,8,10,278,59,46,63,"0",48,"0",352,-99,1052393,"/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/12_De_Npags.integer",23365928,9.6,"0.0",9.1,6,9.1,7,2237980
"....................","....................","....................","Generico_4/28_Number of Records.integer",1,1,1,1,1,"0",1,"0",1,"0",1,1,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/28_Number of Records.integer",23365928,100,1,"None","nan","None","nan","0"
"xxxxxxxxxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxx","Generico_4/21_Hora_Pagina.integer",80100,151500,235200,79773,1524,3324,1485,3521,1506,2872,255940,-63,780015,"/data/mt-compression/code/tools/datasets/formatted/Generico/4/Generico_4/21_Hora_Pagina.integer",23365928,"0.2",180000,"0.2",7,"0.2",4,"0"
"x.xx.xxx.xxxxxx.x.xx","....................","xxxxx....xx..xxxxxxx","Generico_3/30_Posicion_Edicion.integer",1,1,4,379,142,"0",35,"0",153,"0",1136,"0.0",28709,"/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/30_Posicion_Edicion.integer",23365928,18.6,1,12.7,2,11.2,3,1674606
"....................","....................","....................","Generico_3/33_SEMANA.integer",30,45,18,53,3,"0",3,"0",2,"0",53,1,76864,"/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/33_SEMANA.integer",23365928,2.5,30,2.4,29,2.4,31,"0"
"....................","....................","....................","Generico_3/13_Dia_Semana.integer",1,2,4,135,7,"0",7,"0",7,"0",134,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/13_Dia_Semana.integer",23365928,15.5,5,15.4,3,15.3,4,7865
"....................","....................","....................","Generico_3/27_NumAnuncios.integer",1,1,1,2,1,"0",1,"0",1,"0",2,1,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/27_NumAnuncios.integer",23365928,100,1,"0.0",2,"None","nan","0"
".x.x.x.x.x..........","xx.xx.xxxxxxx.xxxxxx","xxx.x.x.xx.x.xxxxx.x","Generico_3/11_Corte.integer",4,4,5,616,30,"0",44,"0",39,"0",838,"0.0",28594,"/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/11_Corte.integer",23365928,17.7,"0.0",16.7,1,15.7,2,4145892
"....................","....................","....................","Generico_3/8_Cols.integer","0.0","0.0","0.0",21,10,"0",12,"0",11,"0",68,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/8_Cols.integer",23365928,97.1,"0.0",1.2,6,"0.5",3,22687060
"....................","....................","....................","Generico_3/29_Plgs.integer","0.0","0.0","0.0",24,15,"0",15,"0",17,"0",98,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/29_Plgs.integer",23365928,97.1,"0.0",1,8,"0.7",4,22687060
"xxxxxxx.xx...xx..xxx",".x.xxxx.xxxxxxxxxx.x","xxxxx.x...x.xxxxxx.x","Generico_3/7_Codigo.integer",135796,116805,121217,1430639,7378,"0",9164,"0",7117,"0",1882408,5,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/7_Codigo.integer",23365928,2.5,10555,2.5,13696,2.1,33017,"0"
"......x.x.xxxxxxx..x","xxxx.............xx.",".....x..........x.xx","Generico_3/15_Duracion.integer",6,180,14,1036,193,"0",196,"0",160,"0",3607,"0.0",9,"/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/15_Duracion.integer",23365928,22.2,30,12,"0.0",9.9,20,2797969
"NNNNNNNNNNNNNNNNNNx.","..............xx....",".NNxx.x..xNNNNx.NNxx","Generico_3/14_Disco.integer","nan",31,177,346,81,22399,55,23647,36,20439,351,"0.0",7263844,"/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/14_Disco.integer",23365928,3.9,47,3.7,29,2.6,30,74426
"....................","....................","....................","Generico_3/3_A�o.integer",2015,2010,2015,9,1,"0",1,"0",1,"0",2015,2007,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/3_A�o.integer",23365928,14.3,2015,11.7,2011,11.1,2014,"0"
"..x.......x.........","x..xxxxx..xxxxxxxx.x","....................","Generico_3/12_De_Npags.integer",7,4,"0.0",278,48,"0",48,"0",61,"0",352,-99,1052393,"/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/12_De_Npags.integer",23365928,9.6,"0.0",9.1,6,9.1,7,2237980
"....................","....................","....................","Generico_3/28_Number of Records.integer",1,1,1,1,1,"0",1,"0",1,"0",1,1,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/28_Number of Records.integer",23365928,100,1,"None","nan","None","nan","0"
"xxxxxxxxxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxx","Generico_3/21_Hora_Pagina.integer",114000,102500,192900,79773,1515,3359,1517,2753,1500,"0",255940,-63,780015,"/data/mt-compression/code/tools/datasets/formatted/Generico/3/Generico_3/21_Hora_Pagina.integer",23365928,"0.2",180000,"0.2",7,"0.2",4,"0"
"..xxxxxxxxxxxxxx.xxx","xx..xxx.xxx.x.xxxx.x","xx.xxxx.xxxxxxxxxxxx","Generico_1/30_Posicion_Edicion.integer",6,4,4,368,111,"0",121,"0",121,"0",1136,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/30_Posicion_Edicion.integer",20660895,19,1,12.8,2,11.3,3,1614882
"....................","....................","....................","Generico_1/33_SEMANA.integer",49,46,29,53,2,"0",3,"0",1,"0",53,1,76864,"/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/33_SEMANA.integer",20660895,2.2,30,2.2,29,2.1,13,"0"
"....................","....................","....................","Generico_1/13_Dia_Semana.integer",7,1,7,135,7,"0",7,"0",7,"0",134,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/13_Dia_Semana.integer",20660895,15.4,5,15.4,3,15.2,4,7865
"....................","....................","....................","Generico_1/27_NumAnuncios.integer",1,1,1,2,1,"0",1,"0",1,"0",2,1,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/27_NumAnuncios.integer",20660895,100,1,"0.0",2,"None","nan","0"
"....................","..x...x.....x.......","xxxxxxxxxxxxxxxxxxxx","Generico_1/11_Corte.integer","0.0",3,5,131,57,"0",34,"0",44,"0",838,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/11_Corte.integer",20660895,18.8,"0.0",16.5,1,15.7,2,3887066
"....................","....................","....................","Generico_1/8_Cols.integer","0.0","0.0","0.0",21,11,"0",12,"0",11,"0",68,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/8_Cols.integer",20660895,96.9,"0.0",1.2,6,"0.5",3,20026112
"....................","....................","xx.x..x...xx..xxx..x","Generico_1/29_Plgs.integer","0.0","0.0",8,24,16,"0",15,"0",16,"0",98,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/29_Plgs.integer",20660895,96.9,"0.0",1,8,"0.7",4,20026112
"xxxxxxxxx.xxxxxxxx..","xxxx.xxxxxxxxxxx.xx.","x........x.x..x.xxxx","Generico_1/7_Codigo.integer",113363,85407,123976,1386983,7754,"0",6511,"0",8724,"0",1864493,5,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/7_Codigo.integer",20660895,2.8,10555,2.8,13696,2.3,33017,"0"
"....................","xxxxx.xx..xxxxxxxxxx","...x..x...xx........","Generico_1/15_Duracion.integer","0.0",21,30,1013,219,"0",189,1,166,"0",3607,"0.0",9,"/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/15_Duracion.integer",20660895,21.9,30,13,"0.0",9.8,20,2692224
".xNNNNNNNNNNx.......",".xxxNNxx..x.xxxxxxNx","............x.....xx","Generico_1/14_Disco.integer",27,164,36,297,76,21983,73,23487,67,17284,305,"0.0",6882782,"/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/14_Disco.integer",20660895,4.2,29,2.9,30,2.8,31,68156
